start_bar,end_bar,high,low,range_pct,n_bars
149,161,5998.381898937618,5987.752820842048,0.0017750608011387185,13
198,205,5976.454218438127,5966.204776212354,0.0017161370150265572,8
308,317,5980.644816409664,5969.481434545875,0.001869749444190282,10
338,348,5973.700336418959,5964.953455402523,0.0014655375339968598,11
426,441,5953.975143748525,5941.34958899158,0.0021246295501559254,16
489,501,5949.192922063898,5935.45117755496,0.0023111631110137856,13
648,670,5961.993277916529,5951.348896319032,0.001788068564904937,23
728,738,5926.721102358463,5915.3015262543,0.0019298765742214315,11
778,785,5923.607307247477,5912.810691945364,0.0018232400168643054,8
805,814,5929.326833662566,5917.855454985163,0.0019376995643046826,10
886,898,5939.657894030888,5926.604018729304,0.002201115269207984,13
931,941,5948.286583155674,5938.73079806154,0.0016087490865711756,11
